"year","ice_depth"
"1950",13.3504578798479
"1951",13.6697180532528
"1952",13.4163168806741
"1953",12.69562993108
"1954",13.3750752512872
"1955",12.6700923878271
"1956",13.9002040769599
"1957",13.2201534561843
"1958",12.309157345918
"1959",13.3092043017491
"1960",12.6567352404534
"1961",12.7944733056442
"1962",13.2542173884771
"1963",12.2752888582514
"1964",13.0621148925279
"1965",13.4878962894949
"1966",13.6521542030537
"1967",13.3132302614012
"1968",12.5921950446685
"1969",13.6315177491602
"1970",12.2698475056162
"1971",13.6129522036579
"1972",13.718883372603
"1973",13.2643471131505
"1974",13.6469417211882
"1975",13.0093980832614
"1976",13.4847906529058
"1977",11.5567701309879
"1978",12.8281644381267
"1979",12.998561448594
"1980",12.403196400564
"1981",12.2242733943055
"1982",13.3040843845882
"1983",12.8405021335038
"1984",12.5996419054036
"1985",12.4497023904009
"1986",12.5246165183298
"1987",12.1753100838106
"1988",12.1330172400284
"1989",13.0230429979668
"1990",12.8062392778458
"1991",12.9481428152434
"1992",12.4508782646484
"1993",12.8617715363774
"1994",12.4041080721546
"1995",12.8984055307185
"1996",13.0599123063069
"1997",13.1825258735141
"1998",12.527543498989
"1999",13.2540798421661
"2000",12.5323517816445
"2001",12.0823515557162
"2002",12.8203232396501
"2003",11.3994808574403
"2004",12.6696544599747
"2005",12.3719235663641
"2006",12.6749613215391
"2007",13.1270638552583
"2008",12.7350005131879
"2009",13.1326244832628
"2010",12.2293315411636
"2011",12.9884993929547
"2012",12.8706485520485
"2013",13.0110721734189
"2014",12.2390583673726
"2015",12.1437373823175
"2016",11.8829405318405
"2017",12.8938559452374
"2018",12.3061603669821
"2019",11.8950296940107
"2020",12.5861729846365
"2021",12.6432641416933
"2022",12.5442569639018
"2023",12.1889460445445
