"year","runoff"
"1950",0.263642058612655
"1951",0.185601489877609
"1952",0.179808170915125
"1953",0.294566129155191
"1954",0.246362345739149
"1955",0.228714266308378
"1956",0.235643180862559
"1957",0.321407369708113
"1958",0.290059979564525
"1959",0.201816864952462
"1960",0.333381094458009
"1961",0.379818530037989
"1962",0.351842599712771
"1963",0.335807180759336
"1964",0.236434867020876
"1965",0.574574532743218
"1966",0.279724882114853
"1967",0.16788698369061
"1968",0.248138657588645
"1969",0.202869125159074
"1970",0.335310791726432
"1971",0.23058266979719
"1972",0.302282200770673
"1973",0.282839995042145
"1974",0.272283273778513
"1975",0.26715754371612
"1976",0.292441076835497
"1977",0.221993388277111
"1978",0.276342552463645
"1979",0.267636722180365
"1980",0.268158172216755
"1981",0.341095052494884
"1982",0.337896000302905
"1983",0.31525866759981
"1984",0.440828184295582
"1985",0.321037191512043
"1986",0.371658908854784
"1987",0.35667303264975
"1988",0.276469065240279
"1989",0.304973088277509
"1990",0.257107779378428
"1991",0.380807382886383
"1992",0.30897681003925
"1993",0.307800754514214
"1994",0.376456430353449
"1995",0.255095652544322
"1996",0.277799713943446
"1997",0.236446038793514
"1998",0.261730175792493
"1999",0.301569924780029
"2000",0.282904912099368
"2001",0.386197914154284
"2002",0.26393192082165
"2003",0.3882130603864
"2004",0.262962090180721
"2005",0.197080335293606
"2006",0.261751613518367
"2007",0.27813879234001
"2008",0.278842010136623
"2009",0.305550699116891
"2010",0.29847594763881
"2011",0.269062481920858
"2012",0.272729238864643
"2013",0.259362665812567
"2014",0.304427181117235
"2015",0.38125546155112
"2016",0.418872027783626
"2017",0.207015060567103
"2018",0.316322703458662
"2019",0.523823585165634
"2020",0.385695184385558
"2021",0.361007680433427
"2022",0.326268600504798
