"","year","temp"
"1","2002",-17.2936773925488
"2","2003",-16.6746965492057
"3","2004",-15.7911530055443
"4","2005",-11.2984198368846
"5","2006",-18.8699317182457
"6","2007",-22.7350212342542
"7","2008",-14.5410290719128
"8","2009",-17.8147192492733
"9","2010",-14.6102860852889
"10","2011",-17.99558188024
"11","2012",-17.5446891017239
"12","2013",-16.5584449827492
"13","2014",-15.2000665632648
"14","2015",-13.7125814607248
"15","2016",-10.7511126176245
"16","2017",-21.5323499541483
"17","2018",-14.3401212023144
"18","2019",-8.77659297657931
"19","2020",-16.1435218130604
