"year","runoff"
"1950",0.00103103849876277
"1951",0.000743238897829988
"1952",0.000757588805319432
"1953",0.00099314408286519
"1954",0.000825570405892627
"1955",0.000768241163830591
"1956",0.000721315738192688
"1957",0.00122892557254484
"1958",0.00121036404172133
"1959",0.00107426249195228
"1960",0.00134806679476002
"1961",0.00153232240302296
"1962",0.00147694873087809
"1963",0.00141186492715744
"1964",0.000917150155304849
"1965",0.00176219106674357
"1966",0.00100927164879739
"1967",0.000694303776410268
"1968",0.000994741888098487
"1969",0.000802072499125806
"1970",0.00112062991147878
"1971",0.000980629357719505
"1972",0.001184588722452
"1973",0.00118344139975143
"1974",0.000865414081068444
"1975",0.00126526611496474
"1976",0.001249990242571
"1977",0.00111431563179715
"1978",0.00109404488869156
"1979",0.00124996305828023
"1980",0.00115293407215332
"1981",0.00154041482658112
"1982",0.00136255723532406
"1983",0.00131177673745155
"1984",0.00172648183093339
"1985",0.00131883542980986
"1986",0.00144883046554814
"1987",0.00113025970376666
"1988",0.00128753441800806
"1989",0.00128389827640088
"1990",0.00111569159380042
"1991",0.00161517890770107
"1992",0.00148171132153398
"1993",0.00134077849223147
"1994",0.00159870838281479
"1995",0.00126854303558676
"1996",0.00132903148058312
"1997",0.00124510386630535
"1998",0.00129137468451288
"1999",0.00105217452755219
"2000",0.00136179656061631
"2001",0.00163882074557883
"2002",0.00131818543400023
"2003",0.00160423698794984
"2004",0.0011855642016002
"2005",0.000945552399386577
"2006",0.00128264270197101
"2007",0.00125418147768699
"2008",0.00135128983223427
"2009",0.00135948516775034
"2010",0.00134565224721926
"2011",0.00125261765281716
"2012",0.0011647543843
"2013",0.000958208143040623
"2014",0.00130487993725344
"2015",0.00143934800240755
"2016",0.00168077435860867
"2017",0.000740238674453292
"2018",0.00136361887896533
"2019",0.00241016892821415
"2020",0.00151713439414044
"2021",0.0015950389889948
"2022",0.00151310990552229
