"","year","temp"
"1","1950",-13.6858332235914
"2","1951",-20.8077271183503
"3","1952",-16.504011263958
"4","1953",-17.3803160053079
"5","1954",-14.4086058004882
"6","1955",-16.0355986450871
"7","1956",-18.4051217065997
"8","1957",-12.6181101769207
"9","1958",-13.6455749322426
"10","1959",-20.5601097289617
"11","1960",-18.7811097521579
"12","1961",-18.2022381698267
"13","1962",-17.2897467050398
"14","1963",-16.6080984330083
"15","1964",-20.6100304588448
"16","1965",-9.14544382333889
"17","1966",-19.2937660434148
"18","1967",-16.3547190792513
"19","1968",-13.677619687598
"20","1969",-13.8947943978748
"21","1970",-11.1936921445409
"22","1971",-19.5995534778139
"23","1972",-20.4899545883884
"24","1973",-14.5662036204579
"25","1974",-17.8241515287326
"26","1975",-15.6469385689766
"27","1976",-15.5420377446313
"28","1977",-16.2311971357245
"29","1978",-13.2835476365344
"30","1979",-12.6288553761608
"31","1980",-14.0879315644826
"32","1981",-11.3144934110319
"33","1982",-15.6412111646916
"34","1983",-14.0466151982018
"35","1984",-9.88815360639973
"36","1985",-14.7339151105261
"37","1986",-16.5510802079178
"38","1987",-16.0948352374309
"39","1988",-12.5090852435844
"40","1989",-17.1791953984996
"41","1990",-11.8718009642292
"42","1991",-13.0474738025964
"43","1992",-13.9056190792113
"44","1993",-12.4825675415548
"45","1994",-13.8611840158875
"46","1995",-17.7732699431995
"47","1996",-13.9555747348929
"48","1997",-18.4177024912178
"49","1998",-12.1489666762877
"50","1999",-16.133622134756
"51","2000",-12.1195693330295
"52","2001",-15.0873267054617
